"id","nama","kecamatan_id","longitude","latitude"
"286","KEUDE BAKONGAN","1103020",NULL,NULL
"287","KAMPUNG BARU","1103020",NULL,NULL
"288","UJUNG PADANG","1103020",NULL,NULL
"289","KMP DRIEN","1103020",NULL,NULL
"290","DAHRUL IHSAN","1103020",NULL,NULL
"291","PADANG BEURAHAN","1103020",NULL,NULL
"292","UJUNG PULO CUT","1103021",NULL,NULL
"293","UJUNG PULO RAYEUK","1103021",NULL,NULL
"294","PASI SEUBADEH","1103021",NULL,NULL
"295","LADANG RIMBA","1103021",NULL,NULL
"296","SIMPANG","1103021",NULL,NULL
"297","SAWAH TINGKEUM","1103021",NULL,NULL
"298","SEULEUKAT","1103021",NULL,NULL
"299","SENEUBOK ALUR BULAH","1103022",NULL,NULL
"300","ALURDUAMAS","1103022",NULL,NULL
"301","JAMBO KEUPOK","1103022",NULL,NULL
"302","UJUNG TANOH","1103022",NULL,NULL
"303","BEUTONG","1103022",NULL,NULL
"304","UJUNG GUNONG RAYEK","1103022",NULL,NULL
"305","UJUNG GUNUNG CUT","1103022",NULL,NULL
"306","RAMBONG","1103022",NULL,NULL
"307","SEUNEUBOK KEURANJI","1103022",NULL,NULL
"308","BUKIT GADING","1103022",NULL,NULL
"309","PASI LEMBANG","1103030",NULL,NULL
"310","UJUNG PADANG","1103030",NULL,NULL
"311","INDRA DAMAI","1103030",NULL,NULL
"312","SUAQ BAKONG","1103030",NULL,NULL
"313","BARAT DAYA","1103030",NULL,NULL
"314","SIALANG","1103030",NULL,NULL
"315","KAPEH","1103030",NULL,NULL
"316","PULO IE","1103030",NULL,NULL
"317","JUA","1103030",NULL,NULL
"318","PASI MERAPAT","1103030",NULL,NULL
"319","UJUNG","1103030",NULL,NULL
"320","LUAR","1103030",NULL,NULL
"321","KEDAI KANDANG","1103030",NULL,NULL
"322","RANTAU BINUANG","1103030",NULL,NULL
"323","UJUNG PASIR","1103030",NULL,NULL
"324","GELUMBUK","1103030",NULL,NULL
"325","KEDAI RUNDING","1103030",NULL,NULL
"326","SAPIK","1103031",NULL,NULL
"327","DURIAN KAWAN","1103031",NULL,NULL
"328","ALAI","1103031",NULL,NULL
"329","PAYA DAPUR","1103031",NULL,NULL
"330","PUCUK LEMBANG","1103031",NULL,NULL
"331","LAWE BULUH DIDI","1103031",NULL,NULL
"332","LAWE SAWAH","1103031",NULL,NULL
"333","PAYA LABA","1103031",NULL,NULL
"334","LAWE CIMANOK","1103031",NULL,NULL
"335","KEDAI PADANG","1103040",NULL,NULL
"336","PASI KUALA BAU","1103040",NULL,NULL
"337","SUAQ GERINGGENG","1103040",NULL,NULL
"338","SIMPANG LHEE","1103040",NULL,NULL
"339","SIMPANG EMPAT","1103040",NULL,NULL
"340","JAMBO MANYANG","1103040",NULL,NULL
"341","LIMAU PURUT","1103040",NULL,NULL
"342","PULO KAMBING","1103040",NULL,NULL
"343","KAMPUNG PAYA","1103040",NULL,NULL
"344","KRUENG BATU","1103040",NULL,NULL
"345","GUNONG PULO","1103040",NULL,NULL
"346","PULO IE I","1103040",NULL,NULL
"347","KRUENG BATEE","1103040",NULL,NULL
"348","PASI KUALA ASAHAN","1103040",NULL,NULL
"349","FAJAR HARAPAN","1103040",NULL,NULL
"350","KRUENG KLUET","1103040",NULL,NULL
"351","ALUR MAS","1103040",NULL,NULL
"352","KAMPUNG TINGGI","1103040",NULL,NULL
"353","KAMPUNG RUAK","1103040",NULL,NULL
"354","KOTA FAJAR","1103040",NULL,NULL
"355","GUNUNG PUDUNG","1103040",NULL,NULL
"356","UJUNG PADANG ASAHAN","1103041",NULL,NULL
"357","PULO IE II","1103041",NULL,NULL
"358","IE MIRAH","1103041",NULL,NULL
"359","UJUNG PADANG RASIAN","1103041",NULL,NULL
"360","PASI RASIAN","1103041",NULL,NULL
"361","TEUPIN GAJAH","1103041",NULL,NULL
"362","KAMPUNG BARO","1103041",NULL,NULL
"363","KRUENG KELEE","1103041",NULL,NULL
"364","LHOK SIALANG RAYEUK","1103041",NULL,NULL
"365","LHOK SIALANG CUT","1103041",NULL,NULL
"366","PAYATEUK","1103041",NULL,NULL
"367","SILOLO","1103041",NULL,NULL
"368","KAMPUNG BARU","1103041",NULL,NULL
"369","SI NEUBOK","1103041",NULL,NULL
"370","LADANG TUHA","1103041",NULL,NULL
